origin,en,ja
인재에게 도전적인 일을 시키는 것은 가인지경영이 무엇에 중점을 두기 때문인가?,재능 있는 사람들이 도전적인 일을 하게 만드는 이유는 무엇입니까?,인재에 대한 도전적인 일을시키는 것은 가인 가지 경영이 무엇에 중점을두기 때문 일까?
킴푹은 무엇 때문에 3도 화상을 입었는가?,김푹이 3도 화상을 입게 된 원인은 무엇입니까?,김푹은 무엇을 위해 3도 화상을 입었나?
방사성 물질 운송에 비스무트를 사용할 수 있는 이유는?,비스무트가 방사성 물질을 운반하는 데 왜 사용될 수 있습니까?,방사성 물질 운송 비스무트를 사용 할 수있는 이유는?
2015년에 개최되는 다른 대회 일정 때문에 피에가 참가하지 못했던 콘테스트는 무엇인가?,2015년 다른 대회 일정 때문에 피엣이 참가하지 못한 대회는 무엇입니까?,2015 년에 개최되는 다른 대회 일정 때문에 피엣은 참가하지 않았다 콘테스트는 무엇인가?
아게실라오스가 추격대를 마련한 까닭은?,아게실라오스가 추격을 시작한 이유는 무엇입니까?,아게실라오스가 추격대를 마련한 이유는?
2016년에 화천군은 무엇때문에 통폐합 대상으로 선정되었나요?,2016년 화천군이 통합폐지 대상으로 선정된 이유는?,2016 년 화천군은 무엇을 위해 통폐합 대상으로 선정셨습니까?
북반구의 계절이 겨울로 변화되는 것은 지구가 어디에 가까워지기 때문인가?,북반구의 계절은 어디에 지구가 가까워지기 때문에 겨울로 바뀝니까?,북반구의 계절이 겨울에서 변화하는 것은 지구가 어디에 접근하기합니까?
박희옥이 국악의 발전에 도움을 주었음에도 불구하고 지원했다는 기록이 없는 이유는?,왜 박희옥이 국악 발전을 지원했다는 기록이 없는 걸까?,박희옥이 국악의 발전에 도움을 준에도 불구하고 지원했다는 기록이없는 이유는?
백인들이 핸콕 추장을 살해한 이유는?,백인들이 핸콕 추장을 죽인 이유는?,백인 핸콕 추장을 살해 한 이유는?
신이 상황을 생각하기 전에 의견을 말하는 인간으로 비친것은 후쿠다가 신을 무엇으로 그렸기 때문인가?,None,하나님의 상황을 생각하기 전에 의견을 말하는 인간에 비친 것은 후쿠다가 하나님 무엇으로 그린 때문인지?
