orign,jn,en ,jn-en,en-jn
정여창은 어떻게 죽었나?,정여창은 어떻게 죽었을까?,정여창은 어떻게 죽을 것인가?,정유창은 어떻게 죽었을까?,정여창은 어떻게 죽나요?
"마리아 발토르타의 형제, 자매 관계는 어떻게 되나?",마리아 발토르타의 형제 자매 관계는 어떻습니까?,마리아 발토르타 형제 자매의 관계는 어떻게 될까?,마리아 발토르타의 형제와 자매 사이의 관계는 무엇입니까?,마리아의 형제자매 관계는 어떻게 될까요?
땅 속에서부터 만드는 고인돌 방식은?,땅에서 고인돌을 만드는 방법?,땅속에서 만드는 고인돌 방식은?,땅에서 고인돌을 만드는 방법?,땅에서 만든 고인돌 공법은?
감각 뉴런이 감정을 격렬하게 느낄 때 이 뉴런은 어떻게 반응하는가?,감각 뉴런은 강렬한 감정에 어떻게 반응합니까?,감각 신경이 감정을 심하게 느낄때  뉴런은 어떻게 반응 할까?,감각 뉴런은 강한 감정에 어떻게 반응합니까?,감각 뉴런은 감정을 느낄 때 어떻게 반응합니까?
명륜당과 제사공간의 위치로 알 수 있는 배치 방식은?,None,명륜당과 제사 공간의 위치에 알 수있는 배치 방식은?,none,메이린도의 위치와 의식 공간에서 알 수 있는 배치 방식은?
단일불포화 지방 위주의 식단일 경우 인슐린 자항성의 발생률이 어떻게 되는가?,단일불포화지방이 많은 식단에서 인슐린 자항성의 발생률은 얼마입니까?,단일 불포화 지방 위주의 식사 인 경우 인슐린 자항성 발생률이 어떻게되는지,단일불포화지방이 많은 식단에서 인슐린 자항성의 발생률은 얼마입니까?,단일 불포화 지방 중심 식단에서 인슐린 별의 발생률은 얼마입니까?
익명조합원은 어떠한 상황에 익명조합을 활용하여 돈을 벌 수 있는가?,어떤 상황에서 익명 회원이 익명 조합을 사용하여 돈을 벌 수 있습니까?,익명 조합원은 어떤 상황에 익명 조합을 이용하여 돈을 벌 수 있는가?,어떤 상황에서 익명 회원이 익명 조합을 통해 돈을 벌 수 있습니까?,익명의 조합원은 어떤 상황에서 익명의 조합을 사용하여 돈을 벌 수 있습니까?
식량이 부족한 시기를 어떻게 표현하는가?,식량이 부족한 시대를 어떻게 설명하겠습니까?,음식이 부족한시기를 어떻게 표현할 것인가?,식량 부족 시기를 어떻게 설명할 수 있습니까?,식량이 부족할 때를 설명하는 방법은?
판매자가 소비자가 원하는 물건을 조달해와 판매했던 방식은?,판매자는 소비자가 원하는 것을 어떻게 조달하고 판매했습니까?,판매자가 소비자가 원하는 것을 조달 해와서 판매 방법은?,판매자는 소비자가 원하는 것을 어떻게 구매하고 판매합니까?,판매자가 소비자가 원하는 것을 어떻게 조달하고 판매한 방식은?
"위에서 아래로 하중이 작용할 경우, 보의 아랫부분은 어떻게 되나요?",하중이 위에서 아래로 가해질 때 보의 아래 부분은 어떻게 됩니까?,위에서 아래로의 하중이 작용하는 경우에는 보의 하단 부분은 어떻게됩니까?,하중이 위에서 아래로 가해질 때 보의 아래 부분은 어떻게 됩니까?,위에서 아래로 하중이 가해질 때 보의 하부는 어떻게 됩니까?
